cik,ticker,name,sic,sic_desc,city,state,zip
0001545236,AHII,American Heritage International Inc.,4950,Sanitary Services,BROWNSVILLE,TX,78521
0001564538,GRTUF,GRANITE REAL ESTATE INVESTMENT TRUST,6798,Real Estate Investment Trusts,TORONTO,,M5K 1
0001532175,NHFOF,NH Foods Ltd./ADR,8880,American Depositary Receipts,NEW YORK,NY,10271
0001608401,ISADY,ISS A/S / ADR,,,NEW YORK,NY,10271
0001585380,INKWD,"Greene Concepts, Inc",2086,Bottled & Canned Soft Drinks & Carbonated Waters,CLOVIS,CA,93611
0001674356,TPTS,"Terra Property Trust, Inc.",6798,Real Estate Investment Trusts,NEW YORK,NY,10022
0001655190,SHLAF,Schindler Holding AG/ADR,,,ZUGERSTRASSE,V8,11111
0001665275,JPHLF,"Japan Post Holdings Co., Ltd./ADR",,,TOKYO,M0,100-8
0001599407,LBRA,1847 Holdings LLC,8742,Services-Management Consulting Services,NEW YORK,NY,10022
0001605755,MONRF,Moncler S.p.A./ADR,,,NEW YORK,NY,10036
0001826779,TOMYF,Tomy Co Ltd/ADR,,,NEW YORK,NY,10271
0001824204,PVOZ,Park View OZ REIT Inc,6798,Real Estate Investment Trusts,BOSTON,MA,02108
0001788707,ADYYF,Adyen N.V./ADR,,,NEW YORK,NY,10271
0001789444,PSKRF,Protector Forsikring/ADR,,,NEW YORK,NY,10271
0001721056,HSCT,HOOPS SCOUTING USA,7374,Services-Computer Processing & Data Preparation,PALM DESERT,CA,92260
0001686009,CAHPF,Evolution Mining Limited/ADR,,,NEW YORK,NY,10271
0001699967,MEIUF,Meitu Inc./ADR,,,,,
0001753712,LARAX,Lord Abbett Credit Opportunities Fund,,,JERSEY CITY,NJ,07302
0001781629,ANKM,"Ankam, Inc.",7371,Services-Computer Programming Services,TAIPEI CITY,F5,104
0001751162,CHWRF,China Tower Corp Limited/ADR,,,NEW YORK,NY,10017
0001758699,TRSO,TRANSUITE.ORG INC.,7370,"Services-Computer Programming, Data Processing, Etc.",LAS VEGAS,NV,89101
0001705455,ZNKUF,"ZENKOKU HOSHO Co., Ltd./ADR",,,NEW YORK,NY,10271
0001700173,FIGIF,"Fuyao Glass Industry Group Co., Ltd./ADR",,,FUJIAN,F4,00001
0001716885,ASCIX,Angel Oak Strategic Credit Fund,,,ATLANTA,GA,30328
0001766868,ADDTF,Addtech AB/ADR,,,STOCKHOLM,V7,SE-10
0001752564,MRCIF,"Mercari, Inc./ADR",,,TOKYO,M0,106-6
0001711929,SWDS,"Starwood Real Estate Income Trust, Inc.",6798,Real Estate Investment Trusts,MIAMI BEACH,FL,33139
